"US",8738117,"Us",1
"XPY",8738118,"Santeuil - Le Perchay",1
"CHR",8738119,"Chars",1
"VWT",8738120,"La Villetertre",1
"LQK",8738121,"Liancourt-Saint-Pierre",1
"CEV",8738122,"Chaumont-en-Vexin",1
"TRH",8738123,"Trie-Château",1
"GIS",8738124,"Gisors",1
"ERA",8738141,"Éragny Neuville",1
"XOA",8738142,"Saint-Ouen l'Aumône Quartier de l'Église",1
"CFD",8738145,"Conflans-Fin-d'Oise",1
"CVF",8738147,"Chanteloup les Vignes",1
"MRK",8738148,"Maurecourt",1
"ANY",8738149,"Andrésy",1
"MTE",8738150,"Mantes la Jolie",1
"JUZ",8738155,"Juziers",1
"GGV",8738156,"Gargenville",1
"IPO",8738157,"Issou Porcheville",1
"LIM",8738158,"Limay",1
"MTQ",8738159,"Mantes Station",1
"BVA",8738162,"Bréval",1
"ACW",8738165,"Achères-Ville",1
"MJM",8738171,"Mareil sur Mauldre",1
"MAE",8738172,"Maule",1
"NZL",8738173,"Nezel Aulnay",1
"VDA",8738179,"Val d'Argenteuil",1
"TSS",8738180,"Triel sur Seine",1
"VXS",8738181,"Vaux sur Seine",1
"TPA",8738182,"Thun le Paradis",1
"MHD",8738183,"Meulan Hardricourt",1
"ARW",8738184,"Argenteuil",1
"CPA",8738186,"Cormeilles en Parisis",1
"FMY",8738187,"La Frette Montigny",1
"HRY",8738188,"Herblay",1
"CSH",8738189,"Conflans Sainte Honorine",1
"CYP",8738190,"Cergy Préfecture",1
"BEC",8738200,"Bécon les Bruyères",1
"KOU",8738220,"Courbevoie",1
"LDU",8738221,"La Défense",1
"GMC",8738225,"Garches Marnes-la-Coquette",1
"VCN",8738226,"Vaucresson",1
"CWJ",8738233,"Chaville Rive Droite",1
"VDV",8738234,"Sèvres Ville d'Avray",1
"SCD",8738235,"Saint-Cloud",1
"VDO",8738236,"Le Val d'Or",1
"MVH",8738237,"Suresnes Mont Valérien",1
"PTX",8738238,"Puteaux",1
"LCB",8738243,"La Celle-Saint-Cloud",1
"BGV",8738244,"Bougival",1
"LFC",8738245,"Louveciennes",1
"MLR",8738246,"Marly-le-Roi",1
"ELW",8738247,"L'Étang-la-Ville",1
"SNB",8738248,"Saint-Nom-la-Bretèche Forêt de Marly",1
"CYC",8738249,"Cergy Saint-Christophe",1
"CJV",8738265,"Cergy le Haut",1
"SGM",8738280,"Saint-Germain-en-Laye Grande Ceinture",1
"MPJ",8738281,"Mareil-Marly",1
"VRD",8738286,"Versailles Rive Droite",1
"MFL",8738287,"Montreuil",1
"VFD",8738288,"Viroflay Rive Droite",1
"MVW",8738328,"Massy Verrières RER C",1
"PSL",8738400,"Paris Saint-Lazare",1
"LGK",8738600,"La Garenne Colombes",1
"GCR",8738605,"Achères Grand Cormier",1
"LWA",8738630,"Les Vallées",1
"NUN",8738631,"Nanterre Université Transilien L",1
"HAR",8738640,"Houilles Carrières sur Seine",1
"SVL",8738641,"Sartrouville",1
"MLF",8738642,"Maisons Laffitte",1
"PSY",8738657,"Poissy",1
"VSW",8738664,"Villennes sur Seine",1
"VET",8738665,"Vernouillet Verneuil",1
"KVE",8738666,"Les Clairières de Verneuil",1
"LMU",8738668,"Les Mureaux",1
"AEH",8738673,"Aubergenville Élisabethville",1
"EPO",8738676,"Épone Mézières",1
"PMP",8739100,"Paris Montparnasse",1
"PVA",8739110,"Paris Montparnasse",0
"VMK",8739153,"Vanves Malakoff",1
"CMA",8739156,"Clamart",1
"VC",8739300,"Versailles Chantiers",1
"INV",8739303,"Invalides",1
"PDM",8739304,"Pont de l'Alma",1
"CPM",8739305,"Champ de Mars Tour Eiffel",1
"JVL",8739306,"Javel",1
"ISY",8739307,"Issy",1
"MFY",8739308,"Meudon Val Fleury",1
"MDN",8739310,"Meudon",1
"BLU",8739311,"Bellevue",1
"SVR",8739312,"Sèvres Rive Gauche",1
"VRG",8739315,"Versailles Château Rive Gauche",1
"POA",8739316,"Porchefontaine",1
"CHV",8739317,"Chaville Vélizy",1
"CVI",8739320,"Chaville Rive Gauche",1
"VFG",8739321,"Viroflay Rive Gauche",1
"SCR",8739322,"Saint-Cyr",1
"VYL",8739325,"La Verrière",1
"CGW",8739327,"Coignières",1
"LSI",8739328,"Les Essarts le Roi",1
"LPE",8739329,"Le Perray",1
"ISP",8739330,"Issy Val de Seine",1
"RBT",8739331,"Rambouillet",1
"BVI",8739332,"Pont du Garigliano",1
"GZA",8739334,"Gazeran",1
"BYS",8739336,"Beynes",1
"FAF",8739340,"Fontenay le Fleury",1
"VEP",8739341,"Villepreux les Clayes",1
"PG",8739342,"Plaisir Grignon",1
"GAQ",8739343,"Garancières la Queue",1
"OGB",8739344,"Orgerus Behoust",1
"TAE",8739345,"Tacoignières Richebourg",1
"HOA",8739346,"Houdan",1
"MBR",8739347,"Marchezais Broué",1
"DX",8739348,"Dreux",1
"PJ",8739350,"Petit Jouy les Loges",1
"JAS",8739351,"Jouy en Josas",1
"VBO",8739353,"Vauboyen",1
"BIS",8739354,"Bièvres",1
"IGY",8739356,"Igny",1
"MPU",8739357,"Massy Palaiseau RER C",1
"LJU",8739361,"Longjumeau",1
"PIE",8739362,"Plaisir les Clayes",1
"CAZ",8739363,"Chilly Mazarin",1
"GBI",8739364,"Gravigny Balizy",1
"PV",8739365,"Petit Vaux",1
"TVO",8739383,"Trappes",1
"SQY",8739384,"Saint-Quentin en Yvelines",1
"NIO",8739387,"Noisy-le-Roi",1
"VEH",8739388,"Villiers Neauphle Pontchartrain",1
"MLM",8739389,"Montfort l'Amaury Méré",1
"CH",8739400,"Chartres",1
"EPN",8739411,"Épernon",1
"MTN",8739413,"Maintenon",1
"SPI",8739414,"Saint-Piat",1
"JOY",8739415,"Jouy",1
"VTP",8739417,"La Villette Saint-Prest",0
"VN",8741560,"Vernon – Giverny",1
"RSS",8741588,"Rosny sur Seine",1
"BNR",8741589,"Bonnières",1
"LAD",8749210,"Les Ardoines",1
"ERE",8753413,"Ermont Eaubonne",0
"DA",8754017,"Dourdan la Forêt",1
"BWR",8754318,"Boulainvilliers",1
"APK",8754320,"Avenue du Président Kennedy",1
"ETP",8754513,"Étampes",1
"ETY",8754514,"Étrechy",1
"CHK",8754515,"Chamarande",1
"LYO",8754516,"Lardy",1
"BSO",8754517,"Bouray",1
"MSX",8754518,"Marolles en Hurepoix",1
"BY",8754519,"Brétigny",1
"SHO",8754520,"Saint-Michel sur Orge",1
"SXG",8754521,"Sainte Geneviève des Bois",1
"EYO",8754522,"Épinay sur Orge",1
"SAO",8754523,"Savigny sur Orge",1
"JY",8754524,"Juvisy",1
"ATH",8754525,"Athis Mons",1
"ABL",8754526,"Ablon",1
"VRI",8754527,"Villeneuve le Roi",1
"CLR",8754528,"Choisy le Roi",1
"VY",8754529,"Vitry sur Seine",1
"IV",8754530,"Ivry sur Seine",1
"SME",8754535,"Saint-Martin d'Étampes",1
"NG",8754545,"La Norville Saint-Germain lès Arpajon",1
"ARP",8754546,"Arpajon",1
"ELY",8754547,"Égly",1
"BIH",8754548,"Breuillet Bruyères le Chatel",1
"BRW",8754549,"Breuillet Village",1
"SCW",8754550,"Saint-Chéron",1
"SXE",8754551,"Sermaise",1
"D",8754552,"Dourdan",1
"PRU",8754619,"Pont de Rungis Aéroport d'Orly",1
"OY",8754620,"Orly Ville",1
"LSW",8754622,"Les Saules",1
"RF",8754629,"Rungis la Fraternelle",1
"CHQ",8754631,"Chemin d'Antony",1
"PAZ",8754700,"Paris Austerlitz",0
"PZB",8754702,"Paris Austerlitz",1
"MDS",8754730,"Musée d'Orsay",1
"SHL",8754731,"Saint-Michel Notre Dame RER C",1
"PPD",8760880,"Créteil Pompadour",1
"RPA",8765479,"Rosa Parks",1
"COE",8768100,"Corbeil Essonnes",1
"MFA",8768115,"Maisons Alfort Alfortville",1
"VD",8768124,"Le Vert de Maisons",1
"VGS",8768130,"Vigneux sur Seine",1
"VWC",8768131,"Viry Châtillon",1
"RIS",8768133,"Ris Orangis",1
"OBP",8768134,"Orangis Bois de l'Épine",1
"GBG",8768135,"Grand Bourg",1
"EVR",8768136,"Évry",1
"GGG",8768137,"Grigny Centre",1
"EVC",8768138,"Évry Courcouronnes",1
"BFX",8768139,"Le Bras de Fer",1
"MJW",8768140,"Moulin-Galant",1
"MNY",8768141,"Mennecy",1
"BUR",8768143,"Ballancourt",1
"LFA",8768145,"La Ferté Alais",1
"BJN",8768147,"Boutigny",1
"MSN",8768148,"Maisse",1
"BQV",8768151,"Buno-Gironville",1
"ESO",8768160,"Essonnes-Robinson",1
"VBV",8768161,"Villabé",1
"IBM",8768162,"Le Plessis-Chenet",1
"CEX",8768163,"Le Coudray-Monceaux",1
"VTV",8768180,"Villeneuve Triage",1
"VSG",8768182,"Villeneuve Saint-Georges",1
"VP",8768185,"Villeneuve Prairie",1
"MEL",8768200,"Melun",1
"KRW",8768210,"Montgeron Crosne",1
"YES",8768211,"Yerres",1
"BNY",8768212,"Brunoy",1
"BXI",8768213,"Boussy Saint-Antoine",1
"CBV",8768214,"Combs la Ville Quincy",1
"LIU",8768215,"Lieusaint Moissy",1
"CES",8768216,"Cesson",1
"WEE",8768217,"Le Mée",1
"ZTN",8768218,"Savigny le Temple Nandy",1
"BJR",8768220,"Bois Le Roi",1
"FON",8768221,"Fontainebleau Avon",1
"TMR",8768225,"Thomery",1
"MOR",8768227,"Morêt Veneux les Sablons",1
"SF",8768229,"Saint-Mammès",1
"MTU",8768230,"Montereau",1
"LYQ",8768240,"Livry sur Seine",1
"CJR",8768241,"Chartrettes",1
"FPO",8768242,"Fontaine le Port",1
"HER",8768243,"Héricy",1
