Transporteur Nom,PA ID,UIC8,UIC7,PR ID,ZDE ID,ZDE Libelle,ZDE Type,ZDE Mode,__ZDEp_ID,ZDEp Nom,ZDEp Mode,__ZDEr_ID,ZDEr Nom,ZDEr Mode,__ZDLr_ID,ZDLr Nom,__LDA_ID,ZDE_ASSOCIEE
RATP,666,,,,60989,DELPHINE SEYRIG,N.D.,TRAM-TRAIN,50145936,DELPHINE SEYRIG,TRAM,24533,Delphine Seyrig,tram,58500,Delphine Seyrig,73800,N.D.
RATP,667,,,,32602,DESNOUETTES,N.D.,TRAM-TRAIN,50144912,DESNOUETTES,TRAM,24101,Desnouettes,tram,42844,Desnouettes,71055,N.D.
RATP,667,,,,32631,DESNOUETTES,N.D.,TRAM-TRAIN,50144941,DESNOUETTES,TRAM,24116,Desnouettes,tram,42844,Desnouettes,71055,N.D.
RATP,668,,,,65577,DEWOITINE,N.D.,TRAM-TRAIN,50146314,Dewoitine,TRAM,2335,Dewoitine,tram,42846,Dewoitine,416744,N.D.
RATP,668,,,,65595,DEWOITINE,N.D.,TRAM-TRAIN,50146332,Dewoitine,TRAM,2328,Dewoitine,tram,42846,Dewoitine,416744,N.D.
RATP,669,,,,32607,DIDOT,N.D.,TRAM-TRAIN,50144917,DIDOT,TRAM,24105,Didot,tram,42847,Didot,70983,N.D.
RATP,669,,,,32626,DIDOT,N.D.,TRAM-TRAIN,50144936,DIDOT,TRAM,24130,Didot,tram,42847,Didot,70983,N.D.
RATP,670,,,,65568,DIVISION LECLERC,N.D.,TRAM-TRAIN,50146305,Division Leclerc,TRAM,41856,Division Leclerc,tram,479057,Division Leclerc,70222,N.D.
RATP,670,,,,65586,DIVISION LECLERC,N.D.,TRAM-TRAIN,50146323,Division Leclerc,TRAM,41855,Division Leclerc,tram,479057,Division Leclerc,70222,N.D.
RATP,671,,,,2048,Argentine,N.D.,METRO,50026878,Argentine,METRO,22088,Argentine,metro,42213,Argentine,71348,N.D.
RATP,671,,,,2098,Argentine,N.D.,METRO,50026535,Argentine,METRO,463121,Argentine,metro,42213,Argentine,71348,N.D.
RATP,672,,,,63727,DOMAINE CHERIOUX,N.D.,TRAM-TRAIN,50146152,DOMAINE CHERIOUX,TRAM,29896,Domaine Chérioux,tram,42882,Domaine Chérioux,70022,N.D.
RATP,672,,,,63745,DOMAINE CHERIOUX,N.D.,TRAM-TRAIN,50146169,DOMAINE CHERIOUX,TRAM,29895,Domaine Chérioux,tram,42882,Domaine Chérioux,70022,N.D.
RATP,673,,,,15601,DRANCY - AVENIR,N.D.,TRAM-TRAIN,50143513,DRANCY - AVENIR,TRAM,23306,Drancy - Avenir,tram,42866,Drancy - Avenir,72549,N.D.
RATP,673,,,,15628,DRANCY - AVENIR,N.D.,TRAM-TRAIN,50143538,DRANCY - AVENIR,TRAM,24424,Drancy - Avenir,tram,42866,Drancy - Avenir,72549,N.D.
RATP,674,,,,2082,Dugommier,N.D.,METRO,50026486,Dugommier,METRO,463075,Dugommier,metro,42869,Dugommier,71606,N.D.
RATP,674,,,,2543,Dugommier,N.D.,METRO,50025969,Dugommier,METRO,22182,Dugommier,metro,42869,Dugommier,71606,N.D.
RATP,675,,,,1926,Dupleix,N.D.,METRO,50025972,DUPLEIX,METRO,22171,Dupleix,metro,42871,Dupleix,71197,N.D.
RATP,675,,,,2251,Dupleix,N.D.,METRO,50026996,DUPLEIX,METRO,463099,Dupleix,metro,42871,Dupleix,71197,N.D.
RATP,676,,,,1927,Duroc,N.D.,METRO,50026225,DUROC,METRO,463084,Duroc,metro,42874,Duroc,71159,N.D.
RATP,676,,,,1928,Duroc,N.D.,METRO,50025933,DUROC,METRO,22229,Duroc,metro,42874,Duroc,71159,N.D.
RATP,676,,,,2252,Duroc,N.D.,METRO,50026224,DUROC,METRO,21970,Duroc,metro,42874,Duroc,71159,N.D.
RATP,676,,,,2253,Duroc,N.D.,METRO,50026436,DUROC,METRO,463083,Duroc,metro,42874,Duroc,71159,N.D.
RATP,677,,,,3343757,Ecole Militaire,N.D.,METRO,50026028,ECOLE MILITAIRE,METRO,463177,Ecole Militaire,metro,42885,École Militaire,71224,N.D.
RATP,677,,,,3343758,Ecole Militaire,N.D.,METRO,50026556,ECOLE MILITAIRE,METRO,22191,Ecole Militaire,metro,42885,École Militaire,71224,N.D.
SNCF,678,,,,5012,ECOLE VETERINAIRE ALFORTVILLE,BUS,BUS,50117336,Ecole Vétérinaire de Maisons-Alfort,BUS,477127,Ecole Vétérinaire de Maisons-Alfort,bus,58625,Bouley - Ecole Vétérinaire,70522,
SNCF,678,,,,5013,ECOLE VETERINAIRE ALFORTVILLE,BUS,BUS,50117371,Ecole Vétérinaire de Maisons-Alfort,BUS,477154,Ecole Vétérinaire de Maisons-Alfort,bus,58625,Bouley - Ecole Vétérinaire,70522,
RATP,678,,,,3343807,Ecole Vétérinaire de Maisons-Alfort,N.D.,METRO,50025882,Ecole Vétérinaire de Maisons-Alfort,METRO,22214,Ecole Vétérinaire de Maisons-Alfort,metro,42889,École Vétérinaire de Maisons-Alfort,70522,N.D.
RATP,678,,,,3343808,Ecole Vétérinaire de Maisons-Alfort,N.D.,METRO,50026557,Ecole Vétérinaire de Maisons-Alfort,METRO,463047,Ecole Vétérinaire de Maisons-Alfort,metro,42889,École Vétérinaire de Maisons-Alfort,70522,N.D.
RATP,679,,,,1930,Edgar-Quinet,N.D.,METRO,50025973,Edgar-Quinet,METRO,22172,Edgar-Quinet,metro,45313,Edgar Quinet,71108,N.D.
RATP,679,,,,2255,Edgar-Quinet,N.D.,METRO,50026999,Edgar-Quinet,METRO,463100,Edgar-Quinet,metro,45313,Edgar Quinet,71108,N.D.
RATP,680,,,,2256,Eglise d'Auteuil,N.D.,METRO,50026223,EGLISE D'AUTEUIL,METRO,21971,Eglise d'Auteuil,metro,42947,Église d'Auteuil,71166,N.D.
RATP,681,,,,1932,Eglise de Pantin,N.D.,METRO,50026829,Eglise de Pantin,METRO,463178,Eglise de Pantin,metro,42949,Église de Pantin,72024,N.D.
RATP,681,,,,2257,Eglise de Pantin,N.D.,METRO,50026300,Eglise de Pantin,METRO,22016,Eglise de Pantin,metro,42949,Église de Pantin,72024,N.D.
RATP,682,,,,2050,Arts-et-Métiers,N.D.,METRO,50026634,Arts-et-Métiers,METRO,463122,Arts-et-Métiers,metro,42230,Arts et Métiers,71293,N.D.
RATP,682,,,,2051,Arts-et-Métiers,N.D.,METRO,50026410,Arts-et-Métiers,METRO,463108,Arts-et-Métiers,metro,42230,Arts et Métiers,71293,N.D.
RATP,682,,,,2099,Arts-et-Métiers,N.D.,METRO,50026284,Arts-et-Métiers,METRO,21994,Arts-et-Métiers,metro,42230,Arts et Métiers,71293,N.D.
RATP,682,,,,2100,Arts-et-Métiers,N.D.,METRO,50026236,Arts-et-Métiers,METRO,21997,Arts-et-Métiers,metro,42230,Arts et Métiers,71293,N.D.
RATP,683,,,,60976,ELLA FITZGERALD - GRANDS MOULINS DE PANTIN,N.D.,TRAM-TRAIN,50145923,ELLA FITZGERALD - GRANDS MOULINS DE PANTIN,TRAM,24398,Ella Fitzgerald - Grands Moulins de Pantin,tram,58499,Ella Fitzgerald,73799,N.D.
RATP,683,,,,60988,ELLA FITZGERALD - GRANDS MOULINS DE PANTIN,N.D.,TRAM-TRAIN,50145935,ELLA FITZGERALD - GRANDS MOULINS DE PANTIN,TRAM,24417,Ella Fitzgerald - Grands Moulins de Pantin,tram,58499,Ella Fitzgerald,73799,N.D.
RATP,684,,,,60616,EPINAY - ORGEMONT,N.D.,TRAM-TRAIN,50145850,EPINAY - ORGEMONT,TRAM,42101,Épinay - Orgemont,tram,50483,Épinay - Orgemont,72382,N.D.
RATP,684,,,,65610,EPINAY - ORGEMONT,N.D.,TRAM-TRAIN,50146342,EPINAY - ORGEMONT,TRAM,42109,Épinay - Orgemont,tram,50483,Épinay - Orgemont,72382,N.D.
RATP,685,,,,1933,Esplanade de la Défense,N.D.,METRO,50026017,Esplanade de la Défense,METRO,22102,Esplanade de la Défense,metro,42962,Esplanade de La Défense,71485,N.D.
RATP,685,,,,2258,Esplanade de la Défense,N.D.,METRO,50026355,Esplanade de la Défense,METRO,463170,Esplanade de la Défense,metro,42962,Esplanade de La Défense,71485,N.D.
RATP,686,,,,1934,Etienne Marcel,N.D.,METRO,50026979,Etienne Marcel,METRO,463171,Etienne Marcel,metro,44970,Étienne Marcel,479068,N.D.
RATP,686,,,,2259,Etienne Marcel,N.D.,METRO,50026289,Etienne Marcel,METRO,22147,Etienne Marcel,metro,44970,Étienne Marcel,479068,N.D.
RATP,687,,,,1935,Europe,N.D.,METRO,50025944,EUROPE,METRO,22032,Europe,metro,42972,Europe,73617,N.D.
RATP,687,,,,2260,Europe,N.D.,METRO,50026805,EUROPE,METRO,463069,Europe,metro,42972,Europe,73617,N.D.
RATP,688,,,,1936,Exelmans,N.D.,METRO,50025719,Exelmans,METRO,21930,Exelmans,metro,42977,Exelmans,71124,N.D.
RATP,688,,,,2261,Exelmans,N.D.,METRO,50026199,Exelmans,METRO,462956,Exelmans,metro,42977,Exelmans,71124,N.D.
RATP,689,,,,3343789,Faidherbe-Chaligny,N.D.,METRO,50026377,Faidherbe-Chaligny,METRO,463172,Faidherbe-Chaligny,metro,42980,Faidherbe Chaligny,74001,N.D.
RATP,689,,,,3343790,Faidherbe-Chaligny,N.D.,METRO,50026559,Faidherbe-Chaligny,METRO,22204,Faidherbe-Chaligny,metro,42980,Faidherbe Chaligny,74001,N.D.
RATP,690,,,,1938,Falguière,N.D.,METRO,50026601,Falguière,METRO,22056,Falguière,metro,42981,Falguière,73641,N.D.
